TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
20140113,4.0,-1.3,2.4,-3.8,36.9,9.3,-9.0,6.199999999999999
20140113,1.0,-7.0,3.1,-14.4,46.5,8.4,-9.0,17.5
20140114,1.3,-6.1,1.5,-12.8,47.4,9.1,-9.0,14.3
20140114,1.2,-4.1,2.4,-9.9,49.5,9.0,-9.0,12.3
20140114,2.3,-0.2,5.1,-4.5,21.1,9.5,-9.0,9.6
20140114,2.5,-1.6,4.5,-10.0,32.5,9.0,-9.0,14.5
20140114,0.6,-7.4,2.5,-14.7,49.5,8.2,-9.0,17.2
20140114,1.8,-3.4,4.1,-11.0,45.8,9.2,-9.0,15.1
20140114,1.3,-1.0,6.4,-9.2,46.8,8.1,-9.0,15.6
20140114,2.5,-1.7,4.6,-8.1,21.4,8.8,-9.0,12.7
20140115,0.8,-5.6,2.8,-12.3,64.6,8.3,-9.0,15.100000000000001
20140115,1.1,-3.5,3.5,-9.2,74.9,8.7,-9.0,12.7
20140115,2.4,1.3,5.5,-2.0,27.4,9.2,-9.0,7.5
20140115,4.6,4.3,6.5,3.2,55.5,3.1,-9.0,3.3
20140115,1.0,-7.3,1.7,-14.7,61.3,9.0,-9.0,16.4
20140115,1.9,-3.1,3.6,-8.3,67.5,9.1,-9.0,11.9
20140115,2.0,1.0,6.2,-3.0,44.4,9.3,-9.0,9.2
20140115,1.2,-1.2,7.1,-8.8,40.0,8.7,-9.0,15.9
20140116,2.5,2.2,6.7,-2.3,38.9,7.1,-9.0,9.0
20140116,0.7,-1.6,4.1,-7.2,74.1,1.6,-9.0,11.3
20140116,1.8,1.8,7.4,-3.2,49.3,9.2,-9.0,10.600000000000001
20140116,1.9,6.7,10.2,3.0,63.3,6.5,-9.0,7.199999999999999
20140116,1.2,-0.1,4.4,-3.9,75.5,4.9,-9.0,8.3
20140116,1.4,1.7,6.5,-2.8,49.0,8.3,-9.0,9.3
20140116,1.5,-0.8,4.3,-7.5,55.1,7.1,-9.0,11.8
20140116,1.0,1.3,7.6,-3.2,46.8,8.2,-9.0,10.8
20140117,2.1,0.3,3.1,-1.8,74.0,6.4,-9.0,4.9
20140117,1.5,0.2,5.9,-5.6,54.6,6.8,-9.0,11.5
20140117,3.0,5.2,9.9,2.6,71.9,3.9,0.0,7.300000000000001
20140117,0.6,-2.8,4.1,-7.5,78.6,5.7,-9.0,11.6
20140117,0.9,0.8,6.7,-3.9,75.3,5.6,-9.0,10.6
20140117,1.6,0.8,8.1,-5.6,67.0,7.7,0.0,13.7
20140117,0.7,-3.6,6.8,-10.3,65.3,6.9,-9.0,17.1
20140118,2.5,-3.1,2.1,-6.4,49.1,8.6,-9.0,8.5
20140118,2.6,-0.9,2.9,-4.2,47.0,8.4,-9.0,7.1
20140118,3.1,1.5,5.3,-1.6,36.8,8.4,-9.0,6.9
20140118,3.1,-0.3,4.2,-4.4,61.4,3.6,-9.0,8.600000000000001
20140118,1.3,-4.5,2.5,-10.0,56.0,8.2,-9.0,12.5
20140118,1.9,-1.2,3.9,-5.3,64.4,4.2,-9.0,9.2
20140118,3.6,1.2,6.1,-2.5,67.5,4.6,-9.0,8.6
20140118,4.1,-0.8,4.9,-7.6,43.6,6.4,-9.0,12.5
20140119,0.8,-4.6,1.5,-12.0,59.1,6.3,-9.0,13.5
20140119,1.0,-3.0,2.5,-10.4,77.8,5.7,0.0,12.9
20140119,1.6,1.2,6.4,-3.9,29.0,9.2,-9.0,10.3
20140119,2.3,4.9,7.3,1.9,62.9,8.4,-9.0,5.4
20140119,0.8,-6.2,2.0,-14.6,56.1,7.5,-9.0,16.6
20140119,1.6,-1.9,5.0,-7.0,61.9,8.3,-9.0,12.0
20140119,1.3,0.6,6.8,-4.5,49.3,9.0,-9.0,11.3
20140119,0.9,-1.0,7.6,-8.2,38.5,8.5,-9.0,15.799999999999999
20140120,2.4,2.4,6.3,0.3,54.1,2.8,0.0,6.0
20140120,1.8,0.8,5.4,-1.5,79.1,1.6,3.6,6.9
20140120,2.8,5.0,9.1,1.9,58.3,4.8,0.2,7.199999999999999
20140120,3.5,8.5,12.0,4.4,56.5,3.7,-9.0,7.6
20140120,2.3,2.3,6.6,-1.7,73.6,1.7,1.7,8.299999999999999
20140120,1.7,3.4,9.0,0.3,53.4,4.7,0.2,8.7
20140120,1.4,-1.4,1.5,-3.9,74.8,0.1,2.0,5.4
20140120,1.8,4.5,9.1,1.1,54.9,3.6,0.1,8.0
20140121,3.9,-4.9,-3.4,-6.6,75.8,4.7,-9.0,3.1999999999999997
20140121,2.8,-3.8,-1.7,-5.2,61.6,7.7,-9.0,3.5
20140121,11.2,0.1,1.5,-1.7,76.3,4.0,1.0,3.2
20140121,2.0,-4.5,-1.7,-6.6,75.9,6.8,0.4,4.8999999999999995
20140121,2.4,-2.5,-0.6,-5.6,72.8,0.5,1.0,5.0
20140121,4.4,-1.4,0.7,-2.8,69.6,3.8,0.4,3.5
20140121,1.4,-5.2,0.5,-10.4,69.4,5.1,-9.0,10.9
20140122,1.0,-5.5,1.5,-13.6,66.6,8.6,-9.0,15.1
20140122,1.0,-4.0,2.6,-10.8,70.8,9.4,-9.0,13.4
20140122,2.6,-0.4,5.2,-4.7,41.0,8.8,-9.0,9.9
20140122,2.9,-2.2,2.7,-5.7,59.4,9.1,-9.0,8.4
20140122,0.7,-6.0,0.7,-11.1,68.8,8.0,-9.0,11.799999999999999
20140122,1.7,-3.8,2.3,-9.5,66.1,9.3,-9.0,11.8
20140122,2.5,-0.1,5.8,-5.8,59.4,8.3,-9.0,11.6
20140122,3.1,-1.3,4.5,-6.7,37.8,8.7,-9.0,11.2
20140123,0.6,-4.7,4.2,-11.6,81.1,6.3,-9.0,15.8
20140123,1.0,-1.3,5.9,-8.0,86.3,8.3,-9.0,13.9
20140123,1.9,2.4,7.8,-2.2,47.4,9.3,-9.0,10.0
20140123,1.8,4.6,9.2,0.2,68.5,7.4,-9.0,9.0
20140123,0.6,-7.5,3.4,-15.6,77.9,8.9,-9.0,19.0
20140123,0.9,-1.8,6.9,-8.3,72.1,9.7,0.4,15.200000000000001
20140123,0.8,2.0,8.1,-4.0,54.5,9.5,-9.0,12.1
20140123,0.7,-1.3,9.6,-8.3,51.4,8.8,-9.0,17.9
20140124,5.2,6.6,9.4,2.7,46.1,4.5,-9.0,6.7
20140124,1.0,3.7,10.7,-3.4,76.5,2.2,-9.0,14.1
20140124,1.7,7.9,12.2,1.1,70.9,7.6,-9.0,11.1
20140124,2.4,12.5,15.5,6.8,67.5,6.7,-9.0,8.7
20140124,4.1,8.4,11.0,-0.8,64.8,0.8,-9.0,11.8
20140124,1.5,6.1,14.5,-2.1,64.9,7.7,-9.0,16.6
20140124,1.3,2.4,10.4,-4.3,63.6,4.8,-9.0,14.7
20140124,1.1,6.8,13.7,-0.4,64.8,5.2,-9.0,14.1
20140125,3.6,4.3,7.6,-0.6,86.3,0.0,1.6,8.2
20140125,1.3,3.6,8.1,-0.5,79.8,0.0,1.8,8.6
20140125,8.9,9.3,13.8,5.3,83.8,0.2,-9.0,8.5
20140125,0.9,2.5,5.0,0.6,87.9,0.0,3.5,4.4
20140125,2.2,7.7,12.5,2.2,78.1,0.0,0.1,10.3
20140125,3.5,9.1,14.8,1.8,73.9,2.0,0.0,13.0
20140125,1.0,3.8,10.1,-3.3,80.3,0.0,0.3,13.399999999999999
20140126,1.8,-2.8,3.4,-6.2,48.1,9.5,-9.0,9.6
20140126,2.1,-1.9,3.2,-4.8,52.8,9.7,-9.0,8.0
20140126,2.3,3.3,8.2,-0.4,44.5,9.8,-9.0,8.6
20140126,2.8,1.1,8.0,-4.9,48.8,9.2,-9.0,12.9
20140126,0.8,-1.7,4.8,-5.7,67.8,8.6,-9.0,10.5
20140126,1.7,0.6,6.7,-4.6,55.3,9.6,-9.0,11.3
20140126,2.7,2.6,10.2,-3.7,49.9,8.4,-9.0,13.899999999999999
20140126,3.2,1.5,7.0,-4.2,56.5,6.0,-9.0,11.2
20140127,1.3,-2.0,5.6,-8.4,64.0,8.5,-9.0,14.0
20140127,1.7,-1.6,5.4,-9.7,82.5,9.2,-9.0,15.1
20140127,1.8,4.8,10.7,-1.7,47.3,9.5,-9.0,12.399999999999999
20140127,2.2,6.9,13.1,1.4,53.5,9.3,-9.0,11.7
20140127,1.0,-3.3,5.0,-10.6,64.0,9.2,-9.0,15.6
20140127,1.8,0.2,8.0,-9.7,66.9,9.8,-9.0,17.7
20140127,1.6,4.7,10.9,-1.0,53.0,9.6,-9.0,11.9
20140127,1.1,1.1,11.4,-7.0,58.9,8.9,-9.0,18.4
20140128,2.8,5.5,11.1,-0.8,44.3,8.9,-9.0,11.9
20140128,1.7,3.1,8.7,-3.3,58.4,7.6,0.0,12.0
20140128,1.9,7.9,12.6,3.8,60.5,5.6,-9.0,8.8
20140128,1.7,11.1,14.9,8.3,64.4,3.5,-9.0,6.6
20140128,2.0,2.7,6.5,-4.0,62.4,6.9,0.0,10.5
20140128,1.4,7.2,13.0,1.8,53.8,6.0,-9.0,11.2
20140128,2.7,4.0,9.2,-2.7,42.6,7.0,-9.0,11.899999999999999
20140128,1.4,7.2,12.7,1.2,54.4,5.2,-9.0,11.5
20140129,2.2,1.6,7.1,-5.2,60.8,7.7,-9.0,12.3
20140129,0.9,0.7,8.5,-8.6,43.6,6.6,-9.0,17.1
20140129,3.9,6.7,12.6,1.9,77.5,7.7,5.5,10.7
20140129,0.7,-0.7,7.4,-8.7,62.9,7.3,-9.0,16.1
20140129,1.1,1.9,11.1,-7.2,63.0,5.6,-9.0,18.3
20140129,1.7,4.1,14.0,-6.8,67.1,9.1,5.5,20.8
20140129,0.6,-0.4,11.7,-12.7,44.5,6.9,-9.0,24.4
20140130,1.8,2.6,6.4,-2.5,63.8,2.0,2.9,8.9
20140130,1.4,3.3,6.5,-2.1,71.6,0.7,3.3,8.6
20140130,2.0,9.7,15.3,5.7,55.8,3.6,-9.0,9.600000000000001
20140130,2.1,6.7,10.9,3.9,85.4,0.3,0.5,7.0
20140130,0.7,0.7,5.5,-2.3,71.3,0.0,1.0,7.8
20140130,1.1,5.9,9.6,0.7,91.5,0.0,1.0,8.9
20140130,2.1,9.1,12.9,4.8,85.5,0.8,1.5,8.100000000000001
20140130,3.5,9.2,15.6,4.0,62.6,2.7,0.0,11.6
20140131,0.7,-1.1,6.3,-6.9,58.6,8.8,-9.0,13.2
20140131,1.2,1.9,9.4,-6.3,58.5,9.2,-9.0,15.7
20140131,1.4,7.4,14.1,2.9,30.8,9.4,-9.0,11.2
20140131,2.0,10.3,16.4,4.7,59.8,9.2,-9.0,11.7
20140131,0.6,-1.6,8.0,-8.0,61.6,9.2,-9.0,16.0
20140131,1.4,4.2,12.8,-4.1,72.1,9.0,-9.0,16.9
20140131,0.8,7.5,13.3,1.5,53.9,9.3,-9.0,11.8
20140131,0.7,4.1,14.5,-3.0,47.0,9.0,-9.0,17.5
20140201,1.4,4.1,7.1,2.3,66.0,0.0,11.0,4.8
20140201,0.7,7.5,13.9,1.1,67.6,3.0,6.3,12.8
20140201,1.5,11.3,16.5,4.8,74.9,2.0,3.7,11.7
20140201,1.9,15.4,20.0,11.4,86.9,2.7,11.5,8.6
20140201,2.8,11.3,16.4,3.8,73.0,0.0,18.5,12.599999999999998
20140201,1.2,11.1,18.2,3.1,68.5,3.7,0.5,15.1
20140201,0.8,6.2,11.8,-2.0,46.8,1.2,0.1,13.8
20140201,0.8,11.2,17.5,2.9,74.4,2.0,0.5,14.6
20140202,2.4,3.7,5.6,1.9,99.0,0.0,0.4,3.6999999999999997
20140202,1.9,8.7,12.2,5.3,74.0,0.9,0.2,6.8999999999999995
20140202,4.4,8.3,11.0,6.7,96.3,0.0,0.5,4.3
20140202,0.6,4.4,6.5,2.8,97.4,0.0,2.0,3.7
20140202,2.1,8.2,13.8,5.5,90.0,0.0,-9.0,8.3
20140202,3.0,10.2,14.5,6.6,85.9,4.9,-9.0,7.9
20140202,1.2,8.5,16.6,1.9,76.8,6.1,0.1,14.700000000000001
20140203,3.5,-3.9,1.8,-8.6,43.9,5.5,-9.0,10.4
20140203,3.7,-2.4,3.6,-7.3,43.6,5.4,-9.0,10.9
20140203,3.7,5.4,11.1,-3.1,35.5,4.3,-9.0,14.2
20140203,3.9,3.1,9.1,-4.7,51.4,4.0,-9.0,13.8
20140203,2.0,-1.6,2.3,-7.4,57.0,5.3,-9.0,9.7
20140203,2.4,2.5,8.7,-5.2,53.1,4.9,-9.0,13.899999999999999
20140203,3.8,5.4,10.3,-2.2,52.6,4.9,-9.0,12.5
20140203,4.2,5.7,11.4,-3.3,38.3,5.0,-9.0,14.7
20140204,1.6,-6.8,-2.3,-10.6,42.6,9.2,-9.0,8.3
20140204,3.6,-5.8,-3.2,-8.2,50.1,9.3,-9.0,4.999999999999999
20140204,3.5,-2.8,1.8,-6.1,25.4,9.9,-9.0,7.8999999999999995
20140204,6.0,1.0,2.6,0.1,61.8,2.9,0.0,2.5
20140204,2.4,-8.3,-3.0,-11.3,43.4,9.6,-9.0,8.3
20140204,6.2,-4.7,-3.0,-6.8,47.6,9.1,-9.0,3.8
20140204,4.7,-2.9,2.0,-6.4,36.9,10.1,-9.0,8.4
20140204,3.3,-2.8,2.0,-6.6,24.0,9.2,-9.0,8.6
20140205,2.6,-3.7,0.7,-7.0,38.8,8.4,-9.0,7.7
20140205,0.9,-4.6,1.0,-9.0,40.9,5.2,-9.0,10.0
20140205,2.9,-0.6,3.4,-4.1,31.1,5.8,-9.0,7.5
20140205,2.4,4.8,7.4,1.9,58.8,2.0,-9.0,5.5
20140205,2.5,-3.4,0.5,-7.1,40.0,4.5,-9.0,7.6
20140205,2.1,-2.0,2.4,-6.3,27.8,6.6,-9.0,8.7
20140205,1.6,-5.1,0.1,-9.5,27.3,5.5,-9.0,9.6
20140205,0.9,-1.0,2.8,-4.1,28.3,3.6,-9.0,6.8999999999999995
20140206,3.5,-1.8,1.5,-4.5,46.8,7.0,-9.0,6.0
20140206,0.7,-2.4,2.5,-7.3,46.1,1.7,-9.0,9.8
20140206,7.5,1.5,3.5,-1.2,70.8,0.8,5.0,4.7
20140206,0.7,-2.4,4.2,-7.0,57.3,6.5,-9.0,11.2
20140206,1.5,0.0,6.0,-3.5,41.5,5.2,-9.0,9.5
20140206,2.0,1.3,5.9,-2.2,69.5,3.0,1.0,8.100000000000001
20140206,0.5,-2.6,3.9,-9.1,47.5,0.2,-9.0,13.0
20140207,2.0,1.2,7.4,-3.7,54.8,5.5,0.3,11.100000000000001
20140207,3.2,3.3,8.3,-3.5,50.5,4.7,0.0,11.8
20140207,1.8,2.8,6.0,-0.8,70.9,0.0,0.1,6.8
20140207,1.8,3.2,8.0,-2.0,67.8,0.0,-9.0,10.0
20140207,1.5,0.0,7.0,-6.6,60.8,4.2,-9.0,13.6
20140207,4.3,4.4,8.1,1.5,58.1,1.7,-9.0,6.6
20140207,2.1,5.3,8.0,3.2,68.4,0.0,0.5,4.8
20140207,1.1,1.2,4.3,-2.1,92.6,0.1,7.0,6.4
20140208,2.3,0.3,3.0,-1.2,79.6,0.9,3.5,4.2
20140208,1.9,1.1,2.9,-0.1,95.6,0.0,3.1,3.0
20140208,1.9,5.3,7.7,3.6,60.8,2.1,0.0,4.1
20140208,4.8,6.3,8.8,5.1,84.4,0.0,15.6,3.700000000000001
20140208,2.7,0.2,3.2,-1.8,74.6,0.8,2.0,5.0
20140208,1.9,2.1,3.6,1.0,89.3,0.0,4.0,2.6
20140208,4.2,4.4,6.9,2.1,76.8,0.0,0.5,4.800000000000001
20140208,2.0,4.9,8.8,1.9,62.3,1.3,-9.0,6.9
20140209,1.6,-0.7,1.7,-1.8,93.3,0.4,32.0,3.5
20140209,1.3,-0.2,1.7,-1.4,79.5,0.3,0.1,3.0999999999999996
20140209,3.1,4.6,7.9,3.2,61.4,8.1,-9.0,4.7
20140209,1.3,6.4,8.7,4.2,67.6,0.3,-9.0,4.499999999999999
20140209,2.4,-0.9,0.8,-2.7,73.8,0.5,0.0,3.5
20140209,2.3,3.5,7.1,1.8,69.0,2.9,-9.0,5.3
20140209,1.9,0.2,2.9,-0.9,76.5,1.8,1.0,3.8
20140209,1.2,4.1,8.0,0.3,55.6,7.3,-9.0,7.7
20140210,3.9,-0.8,2.9,-4.2,71.9,6.3,0.0,7.1
20140210,1.1,-1.0,3.1,-4.0,74.4,3.4,0.7,7.1
20140210,9.1,1.8,3.0,0.4,70.8,3.5,-9.0,2.6
20140210,1.5,0.0,4.4,-2.6,67.0,5.8,-9.0,7.0
20140210,1.9,1.0,4.7,-1.4,68.4,0.6,-9.0,6.1
20140210,2.3,0.8,4.6,-2.1,70.8,0.2,-9.0,6.699999999999999
20140210,1.3,-0.1,4.0,-4.2,66.3,3.9,-9.0,8.2
20140211,1.2,-1.7,5.7,-7.7,57.6,9.9,-9.0,13.4
20140211,2.4,0.7,5.1,-3.3,48.3,10.1,-9.0,8.399999999999999
20140211,2.1,0.8,4.8,-3.0,58.4,7.9,-9.0,7.8
20140211,1.1,0.0,7.3,-7.2,60.1,8.5,-9.0,14.5
20140211,0.6,-3.5,4.6,-10.3,66.3,9.3,-9.0,14.9
20140211,4.0,1.9,6.8,-1.8,49.8,9.9,-9.0,8.6
20140211,2.3,3.3,8.0,0.2,55.8,8.9,-9.0,7.8
20140211,1.8,-2.1,1.0,-6.8,93.5,1.8,4.0,7.8
20140212,1.4,-1.4,5.2,-6.0,72.5,5.2,0.0,11.2
20140212,1.4,1.2,7.2,-1.7,75.9,5.5,-9.0,8.9
20140212,2.1,2.7,7.7,-1.3,58.4,7.0,-9.0,9.0
20140212,2.9,6.2,8.2,4.1,61.4,1.6,0.0,4.1
20140212,0.8,-2.2,4.7,-8.3,70.6,6.4,-9.0,13.0
20140212,1.8,0.6,6.0,-3.2,75.4,5.7,-9.0,9.2
20140212,4.4,3.9,8.3,0.7,55.5,10.2,-9.0,7.6000000000000005
20140212,1.1,0.5,7.4,-5.6,66.3,2.7,0.0,13.0
20140213,0.8,-0.4,0.6,-1.3,95.0,0.0,16.5,1.9
20140213,1.7,2.8,8.2,-1.4,63.8,4.3,-9.0,9.6
20140213,4.4,4.4,7.4,2.0,62.8,4.6,0.0,5.4
20140213,4.3,7.4,9.8,5.8,65.9,6.2,0.5,4.000000000000001
20140213,2.4,3.2,7.2,-0.5,57.9,3.8,-9.0,7.7
20140213,2.3,3.0,6.2,-0.4,67.3,1.0,-9.0,6.6000000000000005
20140213,1.6,1.2,6.2,-3.4,61.5,4.3,-9.0,9.6
20140213,1.4,4.1,7.9,0.1,58.4,4.1,-9.0,7.800000000000001
20140214,2.8,2.9,6.9,0.2,65.8,9.4,-9.0,6.7
20140214,1.3,0.1,5.0,-4.1,65.4,2.7,-9.0,9.1
20140214,3.8,5.0,7.0,3.6,64.8,10.1,-9.0,3.4
20140214,1.0,1.6,6.9,-2.8,66.6,4.4,-9.0,9.7
20140214,1.8,2.6,8.9,-2.4,59.9,6.9,-9.0,11.3
20140214,2.5,3.3,9.3,-1.9,54.4,9.1,-9.0,11.200000000000001
20140214,1.1,-0.8,4.2,-5.7,71.9,0.3,-9.0,9.9
20140215,1.4,1.1,9.0,-5.0,62.5,9.8,-9.0,14.0
20140215,1.5,2.5,9.2,-3.5,63.6,10.0,-9.0,12.7
20140215,1.5,4.2,10.2,-0.8,45.8,10.3,-9.0,11.0
20140215,1.2,0.4,10.1,-7.7,58.3,9.9,-9.0,17.8
20140215,0.8,-0.2,8.3,-6.3,65.5,9.5,-9.0,14.600000000000001
20140215,1.7,1.6,9.5,-5.4,54.9,10.1,-9.0,14.9
20140215,1.2,2.5,10.7,-4.9,64.8,9.1,-9.0,15.6
20140215,1.8,1.9,7.0,-2.2,68.4,8.6,1.0,9.2
20140216,0.9,0.4,7.3,-5.1,70.1,6.4,-9.0,12.399999999999999
20140216,0.9,2.0,7.7,-3.7,74.9,0.8,-9.0,11.4
20140216,1.8,5.8,11.0,-0.4,48.8,9.2,-9.0,11.4
